2026-03-27 10:08:40 | INFO     | backend.app.main:create_app:24 | user:anonymous | GenAI Summarizer application initialized
2026-03-27 10:08:41 | INFO     | backend.app.api:summarize_endpoint:80 | user:test-user | Summarize request: length=short
2026-03-27 10:08:41 | INFO     | backend.app.api:summarize_endpoint:80 | user:test-user | Summarize request: length=medium
2026-03-27 10:08:41 | INFO     | backend.app.api:summarize_endpoint:80 | user:test-user | Summarize request: length=long
2026-03-27 10:08:41 | INFO     | backend.app.api:summarize_endpoint:80 | user:test-user | Summarize request: length=short
2026-03-27 10:08:41 | INFO     | backend.app.api:batch_summarize:125 | user:test-user | Batch item 'f1.txt' summarized successfully
2026-03-27 10:08:41 | INFO     | backend.app.api:batch_summarize:125 | user:test-user | Batch item 'f2.txt' summarized successfully
2026-03-27 10:08:42 | INFO     | backend.app.api:summarize_endpoint:80 | user:test-user | Summarize request: length=short
2026-03-27 10:08:42 | INFO     | backend.app.summarizer.engine:summarize:35 | user:anonymous | Generating short summary for text of 4 characters
2026-03-27 10:08:42 | INFO     | backend.app.summarizer.engine:summarize:35 | user:anonymous | Generating medium summary for text of 14 characters
2026-03-27 10:08:42 | INFO     | backend.app.summarizer.engine:summarize:52 | user:anonymous | Summary generated successfully (17 characters)
2026-03-27 10:08:42 | INFO     | backend.app.summarizer.engine:summarize:35 | user:anonymous | Generating short summary for text of 4 characters
2026-03-27 10:08:42 | ERROR    | backend.app.summarizer.engine:summarize:57 | user:anonymous | Summarization failed: API down
2026-03-27 10:18:42 | INFO     | backend.app.main:create_app:24 | user:anonymous | GenAI Summarizer application initialized
2026-03-27 10:19:59 | INFO     | backend.app.main:create_app:24 | user:anonymous | GenAI Summarizer application initialized
2026-03-27 10:21:34 | INFO     | backend.app.main:create_app:24 | user:anonymous | GenAI Summarizer application initialized
2026-03-27 10:23:14 | INFO     | backend.app.main:create_app:24 | user:anonymous | GenAI Summarizer application initialized
2026-03-27 10:23:15 | INFO     | backend.app.api:summarize_endpoint:80 | user:test-user | Summarize request: length=short
2026-03-27 10:23:15 | INFO     | backend.app.api:summarize_endpoint:80 | user:test-user | Summarize request: length=medium
2026-03-27 10:23:15 | INFO     | backend.app.api:summarize_endpoint:80 | user:test-user | Summarize request: length=long
2026-03-27 10:23:15 | INFO     | backend.app.api:summarize_endpoint:80 | user:test-user | Summarize request: length=short
2026-03-27 10:23:15 | INFO     | backend.app.api:batch_summarize:125 | user:test-user | Batch item 'f1.txt' summarized successfully
